Timestamp,Pelvis_position_x,Pelvis_position_y,Pelvis_position_z,Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftUpperLeg_position_x,LeftUpperLeg_position_y,LeftUpperLeg_position_z,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftLowerLeg_position_x,LeftLowerLeg_position_y,LeftLowerLeg_position_z,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftFoot_position_x,LeftFoot_position_y,LeftFoot_position_z,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightUpperLeg_position_x,RightUpperLeg_position_y,RightUpperLeg_position_z,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightLowerLeg_position_x,RightLowerLeg_position_y,RightLowerLeg_position_z,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightFoot_position_x,RightFoot_position_y,RightFoot_position_z,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Chest_position_x,Chest_position_y,Chest_position_z,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftShoulder_position_x,LeftShoulder_position_y,LeftShoulder_position_z,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftUpperArm_position_x,LeftUpperArm_position_y,LeftUpperArm_position_z,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftForeArm_position_x,LeftForeArm_position_y,LeftForeArm_position_z,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Head_position_x,Head_position_y,Head_position_z,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightShoulder_position_x,RightShoulder_position_y,RightShoulder_position_z,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightUpperArm_position_x,RightUpperArm_position_y,RightUpperArm_position_z,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightForeArm_position_x,RightForeArm_position_y,RightForeArm_position_z,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
20,-0.1421767,0.9360847,-0.0610269,-6.635721,-1.448157,6.01728,-0.2319996,0.7151742,-0.04586199,0.7441474,0.3226513,8.012757,-0.233437,0.3135975,-0.08957899,-0.05233916,-0.0001844151,0,-0.2533927,0.02812719,-0.06592878,6.061069,-2.312907,-9.178215,-0.03175859,0.715017,-0.06195037,2.351935,8.371586,5.799242,0.004217476,0.3180611,-0.1132974,-5.186481,-0.006235963,0.1297215,0.04661492,0.03280747,-0.1122006,1.172531,-8.084629,-15.10531,-0.1444768,1.241972,-0.0731001,5.202888,1.659169,10.67105,-0.2509072,1.368439,-0.1185655,-10.34457,1.382615,17.18339,-0.374792,1.288046,0.01706455,38.60392,24.32948,18.07554,-0.3948347,1.257084,0.2052801,78.26374,-26.13461,37.44145,-0.3054033,1.348839,0.3869252,-3.190526,-2.729555,4.520821,-0.1423673,1.548553,-0.06148646,-23.77028,-1.348368,-13.9223,-0.05476943,1.374538,-0.1494104,28.63841,-1.416718,-11.1415,0.06495273,1.247467,-0.1107427,-1.919996,11.12534,3.231212,0.1278529,1.009685,-0.07978167,14.39279,-9.95134,-5.512209,0.1888239,0.8009909,-0.03282334,-9.099044,-23.56733,3.520699
30,-0.1422388,0.9351893,-0.06072561,-6.635869,-1.455233,6.015423,-0.2323538,0.7129148,-0.03793875,3.292534,0.6717833,7.968167,-0.2338231,0.3131266,-0.07855155,-5.241535,-0.0001570944,0,-0.2534136,0.02812797,-0.06592891,8.281429,-3.702837,-8.988502,-0.03108007,0.7136383,-0.05856475,3.42068,8.503059,5.627652,0.005098313,0.3176752,-0.1087002,-7.363273,-0.01226702,0.1855749,0.0465973,0.03280985,-0.1121888,2.098258,-8.698438,-15.1296,-0.1445187,1.241077,-0.07278971,5.200478,1.656799,10.6674,-0.2509499,1.367534,-0.1182574,-10.3506,1.384869,17.17231,-0.3747825,1.287078,0.01734952,38.56832,24.34034,18.00371,-0.3948041,1.25601,0.2055657,78.25433,-26.05902,37.32044,-0.3054319,1.347746,0.3872392,-3.164649,-2.69061,4.435575,-0.1424248,1.547662,-0.06117909,-23.75546,-1.33604,-13.90395,-0.05481603,1.373655,-0.1490881,28.63209,-1.409348,-11.15002,0.06492405,1.246593,-0.1104546,-1.929858,11.13722,3.259025,0.127861,1.008812,-0.07955532,14.39276,-9.951743,-5.510929,0.1888603,0.8001123,-0.03264689,-9.094357,-23.55553,3.517528
40,-0.1422723,0.9352288,-0.06063593,-6.639385,-1.459891,6.015651,-0.2323839,0.7129962,-0.03809908,3.213088,0.65522,7.956703,-0.2338501,0.3131474,-0.0788575,-5.085307,-0.0001775849,0,-0.2534446,0.0281319,-0.06592739,8.225189,-3.669587,-8.983648,-0.03114944,0.7136945,-0.05864402,3.368541,8.504091,5.642885,0.005027518,0.317691,-0.108889,-7.264986,-0.01195283,0.183454,0.04657058,0.03280956,-0.112205,2.057854,-8.678691,-15.13514,-0.144504,1.241119,-0.07265753,5.190445,1.645761,10.66943,-0.2509223,1.367575,-0.1181059,-10.35653,1.385552,17.15139,-0.3746415,1.286963,0.01744236,38.49012,24.34181,17.87559,-0.3945601,1.255656,0.2056142,78.27479,-25.93639,37.1805,-0.3052589,1.347328,0.3873548,-3.166752,-2.657012,4.164571,-0.142362,1.547701,-0.06098848,-23.75726,-1.328868,-13.89063,-0.05479831,1.373692,-0.148941,28.62197,-1.396104,-11.15092,0.064951,1.246624,-0.1104083,-1.958347,11.1565,3.297192,0.1278998,1.008845,-0.07962951,14.4252,-9.960546,-5.515763,0.1889276,0.8001472,-0.03273889,-9.077444,-23.55609,3.521033
50,-0.1422858,0.9348274,-0.06055132,-6.643312,-1.45843,6.025451,-0.2324575,0.7123343,-0.03634604,3.767436,0.7361305,7.935779,-0.2339464,0.3129808,-0.07644721,-6.215805,-0.0001775849,0,-0.2534716,0.02813876,-0.06592299,8.721591,-3.973975,-8.920794,-0.03087859,0.713128,-0.05740618,3.77792,8.545291,5.55961,0.005356699,0.3175291,-0.1071758,-8.083909,-0.01486249,0.2055842,0.04655044,0.03281319,-0.1122055,2.405989,-8.906793,-15.13631,-0.144428,1.240722,-0.07249962,5.172294,1.620401,10.67957,-0.2508018,1.367192,-0.1179079,-10.35087,1.37185,17.11958,-0.3744185,1.286409,0.01756521,38.41119,24.32924,17.76396,-0.3942327,1.254836,0.2056799,78.30122,-25.82658,37.06367,-0.3049877,1.346425,0.3874883,-3.131129,-2.679039,4.13228,-0.1421598,1.547303,-0.06075895,-23.73917,-1.322919,-13.88548,-0.05468749,1.37328,-0.1487579,28.62604,-1.363401,-11.15253,0.06504616,1.24621,-0.1102542,-1.944407,11.16705,3.318762,0.1279721,1.008419,-0.07951184,14.42767,-9.951326,-5.520912,0.1890131,0.7997187,-0.03265215,-9.075496,-23.55857,3.52081
60,-0.1422925,0.9347519,-0.06050045,-6.640359,-1.467138,6.028964,-0.2324795,0.712242,-0.03608336,3.832723,0.7380088,7.935977,-0.2339775,0.3129575,-0.07612304,-6.361096,-0.0001844151,0,-0.2535013,0.02813822,-0.06592715,8.784674,-4.008091,-8.912795,-0.03083578,0.7130119,-0.05713307,3.854274,8.562578,5.538314,0.005409211,0.3174978,-0.1068263,-8.24674,-0.01552502,0.2112177,0.04652929,0.03281575,-0.1122092,2.47243,-8.956714,-15.13337,-0.1443126,1.240651,-0.07236731,5.148602,1.591134,10.69181,-0.2506451,1.367134,-0.1177187,-10.35201,1.356735,17.07851,-0.3741621,1.286159,0.01767005,38.32244,24.30015,17.67469,-0.3938277,1.254255,0.2056805,78.3535,-25.76903,37.00089,-0.3044825,1.345689,0.3875096,-3.134503,-2.59537,3.827099,-0.1419148,1.547233,-0.0605299,-23.71535,-1.304607,-13.88447,-0.05454271,1.373184,-0.1485987,28.6209,-1.327229,-11.14725,0.06518643,1.246109,-0.1101343,-1.919487,11.18247,3.346376,0.1280919,1.008314,-0.07940432,14.43302,-9.94994,-5.526412,0.1891477,0.7996194,-0.03254323,-9.070299,-23.57141,3.526311
70,-0.142463,0.9346128,-0.06035961,-6.640389,-1.473326,6.037087,-0.2326387,0.7120456,-0.0355128,3.973749,0.7446614,7.946655,-0.2340833,0.3129071,-0.07543063,-6.664238,-0.0001775849,0,-0.2535594,0.02813727,-0.06592257,8.92348,-4.075765,-8.90596,-0.03089849,0.7128291,-0.05669051,3.96709,8.593177,5.528965,0.005434483,0.3174508,-0.1062956,-8.485427,-0.01645393,0.2185032,0.04649307,0.03282583,-0.1122142,2.563917,-9.035002,-15.15417,-0.1440893,1.24052,-0.07213037,5.12285,1.485819,10.69653,-0.2502678,1.367108,-0.1174266,-10.36828,1.264869,17.01562,-0.3736332,1.285747,0.01777271,38.15307,24.16381,17.54574,-0.3930348,1.253295,0.2054953,78.52638,-25.71085,36.96864,-0.3033319,1.344508,0.3872406,-3.255159,-2.297962,3.12487,-0.1413027,1.547103,-0.06017127,-23.67862,-1.200583,-13.8133,-0.05419761,1.372951,-0.1483228,28.57978,-1.214899,-11.17167,0.06553367,1.24587,-0.1099606,-1.888237,11.26738,3.403777,0.1283961,1.008068,-0.07925167,14.44983,-9.952863,-5.541533,0.189483,0.7993946,-0.03235646,-9.049674,-23.60997,3.539501
80,-0.1426144,0.9345801,-0.06028611,-6.640212,-1.472227,6.049576,-0.2327596,0.7119931,-0.03532536,4.0058,0.7423528,7.941442,-0.2341488,0.3128941,-0.07523969,-6.740085,-0.0001844151,0,-0.2535828,0.02813983,-0.06591375,8.968216,-4.09364,-8.887566,-0.03100713,0.7128024,-0.05661352,3.97764,8.602917,5.527759,0.005390435,0.3174459,-0.10623,-8.510201,-0.01661102,0.2193969,0.04647519,0.03282982,-0.1122213,2.563993,-9.048286,-15.16994,-0.1441554,1.240489,-0.07201093,5.110328,1.461661,10.70853,-0.2503039,1.367101,-0.1172642,-10.3701,1.243866,16.9951,-0.373628,1.285597,0.01786608,38.0921,24.10076,17.5576,-0.3930377,1.253042,0.2054494,78.61819,-25.68227,36.93504,-0.3034128,1.344363,0.3871857,-3.297585,-2.294144,3.125559,-0.1412959,1.547072,-0.05998212,-23.67208,-1.160784,-13.7879,-0.0542533,1.372906,-0.1481976,28.56754,-1.187121,-11.17882,0.06547056,1.245819,-0.1098858,-1.874715,11.27641,3.437983,0.1282797,1.007976,-0.07926711,14.40831,-9.952583,-5.564614,0.1893431,0.7992667,-0.0324965,-9.016677,-23.62519,3.530584
90,-0.1427285,0.9345673,-0.0602264,-6.643106,-1.477725,6.068406,-0.2328461,0.7119783,-0.03523307,4.012296,0.7326129,7.944852,-0.2341959,0.3128909,-0.07517834,-6.756419,-0.0001844151,0,-0.2535987,0.0281437,-0.06590343,8.987803,-4.102881,-8.874183,-0.03108841,0.7127843,-0.05656535,3.992137,8.615956,5.522829,0.005358219,0.3174443,-0.1061834,-8.530209,-0.01671347,0.2193969,0.04646438,0.0328362,-0.1122277,2.566511,-9.058143,-15.18548,-0.14424,1.240478,-0.07192191,5.103537,1.455643,10.72613,-0.2503798,1.367095,-0.1171377,-10.35955,1.233095,16.98779,-0.373657,1.285393,0.01788204,37.99138,24.05896,17.55268,-0.3930687,1.252669,0.2052952,78.72583,-25.63693,36.88005,-0.3035311,1.344031,0.3870712,-3.420279,-2.233226,2.804841,-0.1413683,1.547059,-0.059846,-23.67679,-1.140068,-13.76708,-0.05429741,1.372874,-0.1481138,28.57089,-1.249146,-11.16504,0.06539103,1.245658,-0.1098235,-1.866135,11.27381,3.455564,0.1281485,1.007757,-0.07934757,14.33481,-9.956114,-5.559082,0.1891861,0.7989925,-0.03277602,-8.933623,-23.66589,3.51992
110,-0.1427863,0.9345689,-0.06016808,-6.648181,-1.48894,6.087372,-0.2328877,0.7119951,-0.03521912,3.9965,0.7180851,7.957863,-0.2342234,0.3128959,-0.07522452,-6.722692,-0.0001707547,0,-0.2536235,0.02814609,-0.06590107,8.983101,-4.087349,-8.872146,-0.031128,0.7127699,-0.05652304,4.007803,8.629664,5.503207,0.005342498,0.3174426,-0.1061459,-8.546976,-0.01677494,0.2193969,0.04645348,0.03283936,-0.1122359,2.568722,-9.069412,-15.18318,-0.144296,1.240481,-0.07183556,5.097968,1.460069,10.74931,-0.2504415,1.367103,-0.1170053,-10.34731,1.237999,16.99121,-0.3736744,1.285215,0.01790782,37.89277,24.0081,17.57752,-0.393211,1.252436,0.2051457,78.84742,-25.54012,36.78595,-0.3038652,1.343979,0.3869351,-3.673118,-1.955531,2.042773,-0.1414424,1.547058,-0.05971425,-23.68836,-1.130874,-13.7608,-0.05433656,1.372864,-0.1480452,28.57985,-1.311096,-11.14795,0.06532441,1.24554,-0.1097775,-1.860043,11.26351,3.463999,0.1280746,1.007646,-0.07928552,14.35044,-9.956695,-5.563311,0.1891435,0.7989061,-0.03263578,-8.89934,-23.68057,3.534409
120,-0.1428012,0.9345815,-0.06001268,-6.657143,-1.509479,6.125031,-0.2328913,0.712049,-0.03521616,3.941785,0.6966246,7.990112,-0.2342576,0.312911,-0.0753832,-6.618381,-0.0001912453,0,-0.2536824,0.02814764,-0.06589888,8.946128,-4.06666,-8.871746,-0.03112886,0.7127512,-0.0564082,4.033812,8.648256,5.470061,0.005335748,0.3174455,-0.1060574,-8.579156,-0.01687057,0.220287,0.04643121,0.03285164,-0.1122458,2.586491,-9.078742,-15.18732,-0.1443415,1.240494,-0.07165068,5.09343,1.47767,10.79962,-0.2505104,1.367107,-0.1167397,-10.31305,1.243695,17.00016,-0.3737038,1.284903,0.01798214,37.72453,23.89857,17.70253,-0.3935771,1.25203,0.204937,79.03416,-25.41711,36.72393,-0.3048735,1.344026,0.3868245,-3.854731,-1.831427,1.826599,-0.141534,1.54706,-0.05944258,-23.73827,-1.129085,-13.75472,-0.0544422,1.372921,-0.1479143,28.57032,-1.398106,-11.16091,0.06514767,1.245448,-0.1097218,-1.839837,11.19992,3.484844,0.12779,1.007538,-0.07914338,14.36711,-9.935787,-5.564403,0.1888617,0.7988208,-0.03242255,-8.911892,-23.70712,3.553304
